523,750
73,375
523,750
73,375
523,750
73,375
783,750
73,375
783,750
73,375
880,750
73,375
880,750
73,375
783,1500
73,375
698,750
73,375
698,750
73,375
659,750
73,375
659,750
73,375
587,750
73,375
587,750
73,375
523,1500
73,375
783,750
73,375
783,750
73,375
698,750
73,375
698,750
73,375
659,750
73,375
659,750
73,375
587,1500
73,375
783,750
73,375
783,750
73,375
698,750
73,375
698,750
73,375
659,750
73,375
659,750
73,375
587,1500
73,375
523,750
73,375
523,750
73,375
783,750
73,375
783,750
73,375
880,750
73,375
880,750
73,375
783,1500
73,375
698,750
73,375
698,750
73,375
659,750
73,375
659,750
73,375
587,750
73,375
587,750
73,375
523,1500
73,375
